媒体,メール,確認ページ,メモ
AUTOMATON,press@automaton.am,https://automaton-media.com/contact/,問い合わせフォームとは別
電ファミニコゲーマー,release@mare-inc.net,https://news.denfaminicogamer.jp/about,窓口は画像アドレス
Gamer,press@gamer.ne.jp,https://www.gamer.ne.jp/editorial/,窓口は画像アドレス
GameBiz,release@gamebiz.jp,https://gamebiz.jp/press_release_reception,
indiegamesjapan,press@indiegamesjapan.com,https://indiegamesjapan.com/about_us/,一般は info@。当日返信1通
Indie Freaks,press@indie-freaks.com,https://corporate.indie-freaks.com/,旧 /contact は404。相談は contact@
ファミ通.com,kgl-famitsu-release@ml.kadokawa.jp,https://kadokawagamelinkage.jp/contact.html,掲載ハードル高め
電撃オンライン,dol.release@kadokawa.jp,https://kadokawagamelinkage.jp/contact.html,★を@に置換
GAME Watch,game-watch@impress.co.jp,https://game.watch.impress.co.jp/docs/common/contact.html,
IGN Japan,ign_japan@ign.com,https://jp.ign.com/ign-japan/554/news/,大作中心
ねとらぼ,g-release@ml.itmedia.co.jp,https://corp.itmedia.co.jp/media/pr/,document.write 分割表記を結合
ゲームキャスト,gamecastblog@gmail.com,https://www.gamecast-blog.com/archives/65836087.html,PR歓迎。返信はほぼ期待しない記載
SQOOL.NET,press@sqool.net,https://sqool.net/contact/,現行は press@。古いメモの pr@ や受付停止とは食い違う
オタク産業通信,pr@otakuindustry.biz,https://otakuindustry.biz/contact,広告は media@
ゲームメーカーズ,release@gamemakers.jp,https://gamemakers.jp/inquiry/,フォーム POST が 403。ページ記載のメールへ
ゲームライターコミュニティ,info@gamewriter.jp,https://gamewriter.jp/ニュース掲載/,専用フォームは完了画面なし。同じページのメールへ
4Gamer.net,info@4gamer.net,https://www.4gamer.net/secure/mail/form.php,二段。フォーム完了のあと編集部案内。新作は info@ のみ
